寿命,主要物质组成,坝体长度,0,年平均流量,0.1
-0.6989700043360187,1.0,2.2041199826559246,4.408239965311849,0.7781512503836436,1.5563025007672873
-0.1549019599857432,1.0,2.255272505103306,4.510545010206612,1.845098040014257,3.690196080028514
0.25527250510330607,2.0,2.437750562820388,4.875501125640776,2.6314437690131722,5.2628875380263445
0.5440680443502757,1.0,2.3979400086720375,4.795880017344075,1.845098040014257,3.690196080028514
1.0,0.0,2.7634279935629373,5.526855987125875,3.2695129442179165,6.539025888435833
1.1430148002540952,1.0,2.7781512503836434,5.556302500767287,0.3010299956639812,0.6020599913279624
1.3424226808222062,2.0,1.6020599913279623,3.2041199826559246,0.9542425094393249,1.9084850188786497
1.3979400086720377,2.0,2.3010299956639813,4.6020599913279625,0.7781512503836436,1.5563025007672873
1.4913616938342726,2.0,2.0791812460476247,4.158362492095249,1.1760912590556813,2.3521825181113627
1.7708520116421442,1.0,2.792391689498254,5.584783378996508,0.0,0.0
2.041392685158225,1.0,2.3979400086720375,4.795880017344075,0.47712125471966244,0.9542425094393249
2.5440680443502757,1.0,2.3979400086720375,4.795880017344075,1.4771212547196624,2.9542425094393248
